Gene	Memory	Background	Stimulated	Raw
IGHV1-32*01	0	8.88711680314e-05	6.46588552612e-05	9.66641795779e-05
IGHV1-37*01	0	0.000170536565682	0.000191667320953	0.000231087804303
IGHV1S2*01	0.000662251655629	8.16653976504e-05	2.30924483076e-05	6.49462456539e-05
IGHV1-10*01	0.058940397351	0.0720697134265	0.0842920548122	0.0998133173032
IGHV1-20*01	0.259602649007	0.264125111389	0.264216865801	0.336888259229
IGHV1-30*01	0.0437086092715	0.0645637026131	0.0681204132625	0.084711049622
IGHV1-43*01	0	4.80384692061e-06	0	3.02075561181e-06
IGHV1-27*01	0.11059602649	0.123432444702	0.120588765062	0.155417876228
IGHV1-7*01	0.053642384106	0.0501881907031	0.0476166284102	0.0623846448951
IGHV1-21*01	0.167549668874	0.142422051579	0.134913010747	0.176570717399
IGHV1-25*01	0.000662251655629	0.000477982768601	0.000387953131567	0.000546756765737
IGHV1-39*01	0.0258278145695	0.0297189989744	0.0257388428836	0.0353141434799
IGHV1-17*01	0.182119205298	0.182339617566	0.189323437449	0.23705832777
IGHV1-14*01	0.0966887417219	0.0703163093005	0.0645226098161	0.0856263385723
