Gene	Memory	Background	Stimulated	Raw
IGHV1-32*01	0	0.000113178437721	0.000137873983179	0.000147267992327
IGHV1-37*01	0	9.82865380205e-05	7.73439417836e-05	0.00010439250089
IGHV1S2*01	0	8.93513982005e-06	1.68139003877e-05	1.49132144129e-05
IGHV1-10*01	0.0374449339207	0.0451284128511	0.0399800923419	0.0502910873038
IGHV1-20*01	0.350220264317	0.325632235602	0.27971604685	0.357842579837
IGHV1-30*01	0.0903083700441	0.0834303788797	0.106102437007	0.110643001881
IGHV1-43*01	0	2.97837994002e-06	0	1.86415180161e-06
IGHV1-27*01	0.0748898678414	0.0787870845532	0.0891439370757	0.0983582415083
IGHV1-17*01	0.262114537445	0.257069929383	0.245210560475	0.295965789086
IGHV1-21*01	0.0770925110132	0.0872516403428	0.100752253903	0.110173235627
IGHV1-25*01	0	4.76540790402e-05	8.40695019386e-05	7.6430223866e-05
IGHV1-39*01	0.0132158590308	0.0116752493649	0.0102295769959	0.0129465342622
IGHV1-7*01	0.0264317180617	0.0520144272724	0.0796709855972	0.0766129107425
IGHV1-14*01	0.068281938326	0.058739609177	0.0488780084271	0.0636104519263
