Gene	Memory	Background	Stimulated	Raw
IGHV1-32*01	0	0.000192528683766	0.000134180771622	0.000204540805891
IGHV1-37*01	0.000904977375566	0.00124241166243	0.00237143975968	0.00230606182925
IGHV1S2*01	0	2.10578247869e-05	1.64302985659e-05	2.35312431556e-05
IGHV1-10*01	0.199095022624	0.167830863551	0.175982189556	0.216109127045
IGHV1-20*01	0.180090497738	0.210737685685	0.212580679612	0.266161891333
IGHV1-30*01	0.0579185520362	0.0664193876385	0.0695604073619	0.0856193332694
IGHV1-43*01	0	3.00826068384e-06	0	1.81009562735e-06
IGHV1-27*01	0.0651583710407	0.0492753100013	0.0634784585094	0.0712037316931
IGHV1-17*01	0.190950226244	0.217767990903	0.207060099294	0.266690439256
IGHV1-14*01	0.213574660633	0.172502692393	0.143863694243	0.197434370458
IGHV1-25*01	0.000904977375566	0.000403106931634	0.000889974505653	0.000830833892955
IGHV1-39*01	0.00452488687783	0.00863069990193	0.01004438919	0.0118054436816
IGHV1-7*01	0.0108597285068	0.021427840851	0.0338929675584	0.0351936892826
IGHV1-21*01	0.0760180995475	0.0835454157115	0.0801250893397	0.102744648
