Gene	Memory	Background	Stimulated	Raw
IGHV1-32*01	0	9.92788962124e-05	0.000114937099491	0.00013519603425
IGHV1-37*01	0.000616142945163	0.000506080227034	0.000250342449577	0.000434050425749
IGHV1S2*01	0	2.17929284369e-05	1.88937697794e-05	2.49045326249e-05
IGHV1-10*01	0.223659889094	0.227985510124	0.237918221466	0.289257844928
IGHV1-20*01	0.211953173136	0.198080769436	0.195369451923	0.242643675435
IGHV1-30*01	0.0110905730129	0.0167587619679	0.0198274369027	0.0230461801191
IGHV1-43*01	0	0	3.1489616299e-06	2.37186024999e-06
IGHV1-27*01	0.130622304375	0.130174004426	0.123042526727	0.155508645431
IGHV1-7*01	0.0523721503389	0.0579691896421	0.0643773715617	0.0765755081711
IGHV1-21*01	0.133086876155	0.139297977132	0.135257348889	0.169143284078
IGHV1-25*01	0	0.000428594259258	0.00031174720136	0.000441166006499
IGHV1-39*01	0.022797288971	0.0200543370349	0.0160675767166	0.0218045112782
IGHV1-17*01	0.086876155268	0.116454145257	0.120950041724	0.147329285359
IGHV1-14*01	0.126925446704	0.092169558669	0.0864909546077	0.109472023908
