Gene	Memory	Background	Stimulated	Raw
IGHV1-32*01	0	0.000128886317008	9.07495131937e-05	0.000136877229471
IGHV1-37*01	0	0.000620758588037	0.000567832668269	0.000759501700115
IGHV1S2*01	0	8.15403230049e-05	2.85212755752e-05	7.01078492414e-05
IGHV1-10*01	0.0342417889588	0.0451943816087	0.0521680058702	0.0618768538936
IGHV1-20*01	0.236897274633	0.252398863696	0.240066169359	0.312701038431
IGHV1-30*01	0.0684835779175	0.0808722184229	0.0819468104139	0.103489200887
IGHV1-27*01	0.0964360587002	0.0940791204166	0.0940450169442	0.119295182422
IGHV1-7*01	0.0454227812718	0.0537403335262	0.0661045382535	0.0763123938993
IGHV1-21*01	0.195667365479	0.147135567363	0.152456589322	0.19010911786
IGHV1-25*01	0	0.000257772634015	0.000267062853113	0.000335516135655
IGHV1-39*01	0.0132774283718	0.0202746067652	0.0183028803895	0.0244993548409
IGHV1-17*01	0.201257861635	0.231882266295	0.219497143983	0.286490718222
IGHV1-14*01	0.108315863033	0.0733336840444	0.0744586791538	0.0936774404626
