Gene	Memory	Background	Stimulated	Raw
IGHV1-32*01	0	5.58459115016e-05	8.50115237843e-05	8.67048636742e-05
IGHV1-37*01	0	0.000130949033866	0.000103902973514	0.000142945856328
IGHV1S2*01	0	3.08115373802e-05	9.44572486493e-06	2.46054342859e-05
IGHV1-10*01	0.0657254138267	0.0767919797568	0.0726206219065	0.0912146882726
IGHV1-20*01	0.24829600779	0.239509634383	0.219794461027	0.280272300139
IGHV1-30*01	0.0657254138267	0.0709166047226	0.0672686741981	0.0843345401713
IGHV1-43*01	0	1.92572108626e-06	1.88914497299e-06	2.3433746939e-06
IGHV1-27*01	0.123661148978	0.132133352334	0.132328937923	0.161398760355
IGHV1-17*01	0.177215189873	0.177605404344	0.16851928817	0.211239996719
IGHV1-21*01	0.167964946446	0.151560026652	0.15142063702	0.184937959155
IGHV1-25*01	0	0.000321595421406	0.000304152340651	0.000384313449799
IGHV1-39*01	0.0204479065239	0.019935064685	0.0211584236974	0.0251092598451
IGHV1-7*01	0.0413826679649	0.0644384789885	0.101702119621	0.101870013006
IGHV1-14*01	0.0895813047712	0.0665683265099	0.06468243473	0.0799313391215
