Gene	Memory	Background	Stimulated	Raw
IGHV1-32*01	0	0.000109471321935	0.000195715531729	0.000205022387122
IGHV1-37*01	0.00077339520495	0.000177890898144	0.000361648265152	0.000365402802854
IGHV1S2*01	0	1.36839152418e-05	6.38202820856e-06	1.15738444343e-05
IGHV1-10*01	0.0641918020108	0.0811045656383	0.0795051800796	0.100404753874
IGHV1-20*01	0.275328692962	0.256573410784	0.248784223626	0.315466624339
IGHV1-30*01	0.0634184068059	0.0708621550798	0.074542089476	0.0916450070435
IGHV1-43*01	0	0	1.27640564171e-05	9.92043808655e-06
IGHV1-27*01	0.119876256767	0.135152609865	0.145423022103	0.177238546854
IGHV1-7*01	0.0262954369683	0.0480168585836	0.0564639309039	0.0668571390779
IGHV1-14*01	0.0641918020108	0.0581463768413	0.0504095134767	0.0667165995384
IGHV1-25*01	0.00077339520495	0.000502883885137	0.00085944646542	0.000904413272223
IGHV1-39*01	0.0247486465584	0.0244428936007	0.0224945220925	0.0290949915015
IGHV1-17*01	0.184068058778	0.187308852809	0.186757291467	0.234315787385
IGHV1-21*01	0.176334106729	0.137588346778	0.134184270428	0.169765150162
